"id","job_id","display_name","cron_expression","time_zone_id","enabled","sort_order","created_at","updated_at","job_type_name","job_method_name","manual_run_json"
55,qonversion-bronze-to-silver,Qonversion Bronze→Silver,"30 * * * *",UTC,false,112,2026-04-09 13:34:55.211 +0700,2026-04-20 19:21:19.357 +0700,"MediationPro.Jobs.QonversionTransformJob, MediationPro.Jobs",RunBronzeToSilverAsync,""
68,qonversion-web-crawler-rolling-t3t1,Qonversion Web Crawler (T-3..T-1 hourly + transform),"0 1 * * *",UTC,true,115,2026-04-20 22:14:49.551 +0700,2026-04-20 22:14:49.551 +0700,"MediationPro.Jobs.QonversionWebCrawlerJob, MediationPro.Jobs",SyncRollingWindowT3ToT1Async,""
66,appsflyer-installs-report-t3-t1,AppsFlyer Install report (T-3 to T-1),"0 */12 * * *",UTC,false,85,2026-04-20 19:21:19.357 +0700,2026-04-20 19:21:19.357 +0700,"MediationPro.Jobs.AppsFlyerInstallsReportSyncJob, MediationPro.Jobs",SyncT3ToT1InstallsReportAsync,""
40,firebase-pipeline-weekly,Firebase Pipeline Weekly Smart Recovery,"0 6 * * 0",UTC,true,88,2026-03-02 17:00:00.000 +0700,2026-04-20 19:21:19.357 +0700,"MediationPro.Jobs.FirebasePipelineJob, MediationPro.Jobs",WeeklyBackfillAsync,""
61,appsflyer-master-sync-today,AppsFlyer Master v4 (UTC today),"0 */2 * * *",UTC,true,89,2026-04-13 13:12:12.268 +0700,2026-04-20 19:21:19.357 +0700,"MediationPro.Jobs.AppsFlyerMasterApiSyncJob, MediationPro.Jobs",SyncTodayUtcMasterAsync,""
62,appsflyer-master-sync-t3-t1,AppsFlyer Master v4 (T-3 to T-1),"0 */12 * * *",UTC,true,90,2026-04-13 13:12:12.268 +0700,2026-04-20 19:21:19.357 +0700,"MediationPro.Jobs.AppsFlyerMasterApiSyncJob, MediationPro.Jobs",SyncT3ToT1MasterAsync,""
63,appsflyer-master-lookback-weekly,AppsFlyer Master v4 (weekly lookback to T-1),"30 6 * * 0",UTC,false,91,2026-04-13 13:12:12.268 +0700,2026-04-20 19:21:19.357 +0700,"MediationPro.Jobs.AppsFlyerMasterApiSyncJob, MediationPro.Jobs",SyncDailyMasterAsync,""
43,adjust-parquet-sync-today,Adjust Parquet Sync (Today),"0 */2 * * *",UTC,true,92,2026-03-16 16:16:41.722 +0700,2026-04-20 19:21:19.357 +0700,"MediationPro.Jobs.AdjustParquetSyncJob, MediationPro.Jobs",SyncTodayAsync,""
44,adjust-parquet-sync-t1-t5,Adjust Parquet Sync (T-1 to T-5),"0 */12 * * *",UTC,true,93,2026-03-16 16:16:41.722 +0700,2026-04-20 19:21:19.357 +0700,"MediationPro.Jobs.AdjustParquetSyncJob, MediationPro.Jobs",SyncT1ToT5Async,""
60,appsflyer-master-cohort-weekly,AppsFlyer Master cohort LTV (weekly),"0 7 * * 1",UTC,false,101,2026-04-13 13:00:29.153 +0700,2026-04-20 19:21:19.357 +0700,"MediationPro.Jobs.AppsFlyerCohortSyncJob, MediationPro.Jobs",SyncWeeklyCohortMasterAsync,""
28,applovin-sync-job,AppLovin Revenue Sync,"10 * * * *",UTC,true,94,2026-02-02 17:00:00.000 +0700,2026-04-20 19:21:19.357 +0700,"MediationPro.Jobs.AppLovinSyncJob, MediationPro.Jobs",SyncAllAsync,""
50,meta-campaign-sync-job,Meta Campaign Sync,"5 * * * *",UTC,true,97,2026-04-03 15:38:13.749 +0700,2026-04-20 19:21:19.357 +0700,"MediationPro.Jobs.MetaCampaignSyncJob, MediationPro.Jobs",SyncAllOrganizationsAsync,""
52,meta-app-mapping-discovery-job,Meta App Mapping Discovery,"0/45 * * * *",UTC,true,98,2026-04-06 15:47:05.395 +0700,2026-04-20 19:21:19.357 +0700,"MediationPro.Jobs.MetaAppMappingDiscoveryJob, MediationPro.Jobs",DiscoverAllOrganizationsAsync,""
